N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
32,32,8,4,vit,fc69/MatMul,147480,24,905969664,56623104,305135616,301989888,905969664,56623104,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc70/MatMul,2064,528,9437184,147456,49152,24576,9437184,393216,540672,24576,1024,131072,131072,262144,64
32,32,8,4,vit,fc71/MatMul,147468,12,905969664,56623104,151781376,150994944,905969664,56623104,113246208,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc72/MatMul,6304,160,9437184,147456,595968,589824,9437184,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc73/MatMul,110616,24,679477248,42467328,228851712,226492416,679477248,42467328,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc74/MatMul,1986,450,7077888,442368,1787904,1769472,7077888,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,8,4,vit,fc75/MatMul,36888,24,226492416,14155776,76283904,75497472,226492416,14155776,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc76/MatMul,1696,160,2359296,147456,595968,589824,2359296,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc77/MatMul,147480,24,905969664,56623104,305135616,301989888,905969664,56623104,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc78/MatMul,2064,528,9437184,147456,49152,24576,9437184,393216,540672,24576,1024,131072,131072,262144,64
32,32,8,4,vit,fc79/MatMul,147468,12,905969664,56623104,151781376,150994944,905969664,56623104,113246208,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc80/MatMul,6304,160,9437184,147456,595968,589824,9437184,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc81/MatMul,110616,24,679477248,42467328,228851712,226492416,679477248,42467328,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc82/MatMul,1986,450,7077888,442368,1787904,1769472,7077888,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,8,4,vit,fc83/MatMul,36888,24,226492416,14155776,76283904,75497472,226492416,14155776,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc84/MatMul,1696,160,2359296,147456,595968,589824,2359296,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc85/MatMul,147480,24,905969664,56623104,305135616,301989888,905969664,56623104,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc86/MatMul,2064,528,9437184,147456,49152,24576,9437184,393216,540672,24576,1024,131072,131072,262144,64
32,32,8,4,vit,fc87/MatMul,147468,12,905969664,56623104,151781376,150994944,905969664,56623104,113246208,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc88/MatMul,6304,160,9437184,147456,595968,589824,9437184,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc89/MatMul,110616,24,679477248,42467328,228851712,226492416,679477248,42467328,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc90/MatMul,1986,450,7077888,442368,1787904,1769472,7077888,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,8,4,vit,fc91/MatMul,36888,24,226492416,14155776,76283904,75497472,226492416,14155776,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc92/MatMul,1696,160,2359296,147456,595968,589824,2359296,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc93/MatMul,147480,24,905969664,56623104,305135616,301989888,905969664,56623104,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc94/MatMul,2064,528,9437184,147456,49152,24576,9437184,393216,540672,24576,1024,131072,131072,262144,64
32,32,8,4,vit,fc95/MatMul,147468,12,905969664,56623104,151781376,150994944,905969664,56623104,113246208,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc96/MatMul,6304,160,9437184,147456,595968,589824,9437184,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit_huge,conv0/Convolution,12042432,192,98650030080,1541406720,1541406720,770703360,98650030080,77070336,1618477056,770703360,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc1/MatMul,307224,24,1887436800,117964800,633077760,629145600,1887436800,117964800,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc2/MatMul,2584,24,19660800,614400,2488320,2457600,19660800,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc3/MatMul,102424,24,629145600,39321600,211025920,209715200,629145600,39321600,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc4/MatMul,2776,216,6553600,204800,829440,819200,6553600,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc5/MatMul,409624,24,2516582400,157286400,844103680,838860800,2516582400,157286400,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc6/MatMul,5144,24,41943040,1310720,5308416,5242880,41943040,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc7/MatMul,409612,12,2516582400,157286400,420741120,419430400,2516582400,157286400,314572800,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc8/MatMul,10251,11,26214400,1638400,3287040,3276800,26214400,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc9/MatMul,307224,24,1887436800,117964800,633077760,629145600,1887436800,117964800,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc10/MatMul,2584,24,19660800,614400,2488320,2457600,19660800,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc11/MatMul,102424,24,629145600,39321600,211025920,209715200,629145600,39321600,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc12/MatMul,2776,216,6553600,204800,829440,819200,6553600,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc13/MatMul,409624,24,2516582400,157286400,844103680,838860800,2516582400,157286400,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc14/MatMul,5144,24,41943040,1310720,5308416,5242880,41943040,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc15/MatMul,409612,12,2516582400,157286400,420741120,419430400,2516582400,157286400,314572800,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc16/MatMul,10251,11,26214400,1638400,3287040,3276800,26214400,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc17/MatMul,307224,24,1887436800,117964800,633077760,629145600,1887436800,117964800,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc18/MatMul,2584,24,19660800,614400,2488320,2457600,19660800,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc19/MatMul,102424,24,629145600,39321600,211025920,209715200,629145600,39321600,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc20/MatMul,2776,216,6553600,204800,829440,819200,6553600,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc21/MatMul,409624,24,2516582400,157286400,844103680,838860800,2516582400,157286400,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc22/MatMul,5144,24,41943040,1310720,5308416,5242880,41943040,2621440,3932160,65536,1024,131072,131072,262144,64
