N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
32,32,8,4,vit,fc73/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc74/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc75/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc76/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc77/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc78/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc79/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc80/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc81/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc82/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc83/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc84/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc85/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc86/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc87/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc88/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc89/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc90/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc91/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc92/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc93/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc94/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc95/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc96/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit_huge,conv0/Convolution,12042432,192,98650030080,1541406720,1541406720,770703360,98650030080,77070336,1618477056,770703360,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc1/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc2/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc3/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc4/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc5/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc6/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc7/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc8/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc9/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc10/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc11/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc12/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc13/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc14/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc15/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc16/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc17/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc18/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc19/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc20/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc21/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc22/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc23/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc24/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc25/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc26/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc27/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc28/MatMul,25952,352,419430400,6553600,27525120,26214400,419430400,327680,6881280,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc29/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc30/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc31/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc32/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc33/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc34/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc35/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc36/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc37/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc38/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc39/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc40/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc41/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc42/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc43/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc44/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc45/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc46/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc47/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc48/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc49/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc50/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc51/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc52/MatMul,25952,352,419430400,6553600,27525120,26214400,419430400,327680,6881280,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc53/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc54/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc55/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
